,AREA,AREA_NAME
0,10180,"Abilene, TX"
856,11100,"Amarillo, TX"
1960,12420,"Austin-Round Rock, TX"
3835,13140,"Beaumont-Port Arthur, TX"
5055,15180,"Brownsville-Harlingen, TX"
6016,17780,"College Station-Bryan, TX"
7087,18580,"Corpus Christi, TX"
8354,19100,"Dallas-Fort Worth-Arlington, TX"
9085,19124,"Dallas-Plano-Irving, TX Metropolitan Division"
10470,21340,"El Paso, TX"
11865,23104,"Fort Worth-Arlington, TX Metropolitan Division"
13107,26420,"Houston-The Woodlands-Sugar Land, TX"
15296,28660,"Killeen-Temple, TX"
16435,29700,"Laredo, TX"
17192,30980,"Longview, TX"
18172,31180,"Lubbock, TX"
19339,32580,"McAllen-Edinburg-Mission, TX"
20557,33260,"Midland, TX"
21471,36220,"Odessa, TX"
22222,41660,"San Angelo, TX"
22916,41700,"San Antonio-New Braunfels, TX"
24807,43300,"Sherman-Denison, TX"
25483,45500,"Texarkana, TX-AR"
26238,46340,"Tyler, TX"
27277,47020,"Victoria, TX"
27875,47380,"Waco, TX"
28964,48660,"Wichita Falls, TX"
